feature,coefficient,abs_coefficient
0,18.92968374113067,18.92968374113067
ο,17.261460956748788,17.261460956748788
 00 ,-15.38577837340948,15.38577837340948
ρ,12.49249545983808,12.49249545983808
κ,12.35099526302429,12.35099526302429
Дам,10.172148459857063,10.172148459857063
ʜ,9.924029527521581,9.924029527521581
"а,",-7.966713817575691,7.966713817575691
омог,7.755502651766309,7.755502651766309
і,7.71176676679913,7.71176676679913
"а, ",-7.6162964650208815,7.6162964650208815
Бар,-7.395294334887016,7.395294334887016
 ко ,7.323626322937723,7.323626322937723
"е,",-7.1192298187724585,7.1192298187724585
 как,-7.06607870315171,7.06607870315171
"е, ",-7.045956933118632,7.045956933118632
"0,",-7.024840185626706,7.024840185626706
"и,",-6.993480969768775,6.993480969768775
отал,-6.991207453030865,6.991207453030865
"и, ",-6.952050427657021,6.952050427657021
 лс,6.9190437798484075,6.9190437798484075
иши,6.886087303378333,6.886087303378333
"т, ",-6.868617333484369,6.868617333484369
"т,",-6.847775734852696,6.847775734852696
пова,-6.77560488089547,6.77560488089547
bot ,6.712420220190396,6.712420220190396
 Бар,-6.679776008937258,6.679776008937258
 Ищ,6.627555323452453,6.627555323452453
Ищ,6.61900779440179,6.61900779440179
bot,6.555121014646886,6.555121014646886
 00,-6.5220781356134525,6.5220781356134525
ᴏ,6.521828523413768,6.521828523413768
"о,",-6.498378618976317,6.498378618976317
o,6.479304172480044,6.479304172480044
️,6.474792873741388,6.474792873741388
ᴇ,6.470394986652808,6.470394986652808
бат ,-6.4598305751454035,6.4598305751454035
атим,6.4379883228355705,6.4379883228355705
лачу,6.369579714202776,6.369579714202776
ссаж,6.277145001039654,6.277145001039654
 ft,-6.2487475335383005,6.2487475335383005
иш,6.229706409959098,6.229706409959098
ᴋ,6.207534179398252,6.207534179398252
 н ,6.189778217546345,6.189778217546345
"м, ",-6.183712765567461,6.183712765567461
"о, ",-6.155869672544315,6.155869672544315
"м,",-6.11670475459676,6.11670475459676
пиши,6.10618889542082,6.10618889542082
ил ,-6.049019718993192,6.049019718993192
к ,6.034256603103024,6.034256603103024
 л ,6.0286714311083935,6.0286714311083935
ᴀ,5.991345633738938,5.991345633738938
лс ,5.984603843472886,5.984603843472886
това,5.943207780167381,5.943207780167381
агля,5.921013338302785,5.921013338302785
Ба,-5.883555049304685,5.883555049304685
 т ,5.871262109915004,5.871262109915004
адан,5.858690704057453,5.858690704057453
рф,-5.856015474691958,5.856015474691958
ftt,-5.850739133003925,5.850739133003925
 ftt,-5.8502913109646055,5.8502913109646055
емк,5.845320696121504,5.845320696121504
ftt ,-5.8264557499782,5.8264557499782
y,5.767171897051682,5.767171897051682
 лс ,5.7656322695652396,5.7656322695652396
ская,-5.73549523752802,5.73549523752802
ʙ,5.707865343951978,5.707865343951978
"л,",-5.691651101005761,5.691651101005761
0000,-5.640187716556668,5.640187716556668
ота ,5.619801730016291,5.619801730016291
веты,5.60241527038204,5.60241527038204
 доп,-5.592668854127051,5.592668854127051
етро,-5.584282006270108,5.584282006270108
нал ,5.570012278762199,5.570012278762199
мер,-5.562938546640741,5.562938546640741
tt ,-5.555157592389517,5.555157592389517
"я,",-5.552443080182015,5.552443080182015
етр,-5.50944992654706,5.50944992654706
Нуж,5.4781239836103754,5.4781239836103754
Бар ,-5.477794874053994,5.477794874053994
метр,-5.467266071290274,5.467266071290274
саж,5.4474022678001175,5.4474022678001175
у ,5.446310345074357,5.446310345074357
 Нуж,5.441174765532188,5.441174765532188
офил,5.402656928303941,5.402656928303941
жнос,5.3838834455248445,5.3838834455248445
фил,5.3837056902864555,5.3837056902864555
ил,-5.355987266549932,5.355987266549932
"л, ",-5.337466152138295,5.337466152138295
10,-5.336600662755486,5.336600662755486
5,5.320861154270548,5.320861154270548
"я, ",-5.290540631627844,5.290540631627844
 код,-5.282910764925223,5.282910764925223
бор ,5.2810024952276144,5.2810024952276144
 пов,-5.2453541582157746,5.2453541582157746
 р,5.2403704620791105,5.2403704620791105
a,5.232722686567904,5.232722686567904
нтим,5.228112915926473,5.228112915926473
 Ба,-5.213120403764182,5.213120403764182
e,5.1857777186268885,5.1857777186268885
вш,-5.18510424984836,5.18510424984836
оран,-5.183078707584827,5.183078707584827
ет ,-5.122766448579243,5.122766448579243
мной,5.121657728512992,5.121657728512992
ᴍ,5.105499634419155,5.105499634419155
ока ,-5.102408547776845,5.102408547776845
 0,-5.054362033807959,5.054362033807959
26,-5.0466073863772225,5.0466073863772225
. ,5.034998500421698,5.034998500421698
чше ,-5.023572768112523,5.023572768112523
2025,5.022686288004857,5.022686288004857
ш ,5.0126285497897145,5.0126285497897145
л ,-4.982000472333539,4.982000472333539
дохо,4.980155935434557,4.980155935434557
ю ,4.971634762858362,4.971634762858362
Ище,4.942359193666541,4.942359193666541
 Ище,4.93446337046265,4.93446337046265
едоп,4.895548489581285,4.895548489581285
"ь,",-4.877440280384641,4.877440280384641
как,-4.874077506195746,4.874077506195746
ф,4.871285139649525,4.871285139649525
 дж,-4.8698530052171805,4.8698530052171805
 м ,-4.867966853394327,4.867966853394327
 дам,4.8329096439404715,4.8329096439404715
 рот,4.821158463901812,4.821158463901812
емка,4.8007451294139285,4.8007451294139285
 ᴍ,4.798315272706671,4.798315272706671
!,4.786375041155171,4.786375041155171
 мог,-4.779043584161736,4.779043584161736
рез,-4.767633377167174,4.767633377167174
смож,4.759323812812705,4.759323812812705
ечер,4.753196465444084,4.753196465444084
 лич,4.75307751449049,4.75307751449049
"1,",-4.7196684882704165,4.7196684882704165
00,4.711562027261193,4.711562027261193
ает ,-4.702458510052066,4.702458510052066
 тов,4.670610843234242,4.670610843234242
агл,4.600479174383058,4.600479174383058
 рф,-4.594264886769528,4.594264886769528
ает,-4.588454157040682,4.588454157040682
лад ,4.57441870538674,4.57441870538674
лев,-4.5691125245298565,4.5691125245298565
Нуже,4.56066505407549,4.56066505407549
"ю, ",-4.558624304892827,4.558624304892827
"ы, ",-4.558145317956999,4.558145317956999
агра,4.541023408723076,4.541023408723076
 ищ,4.539355079438735,4.539355079438735
"2,",-4.535832856500898,4.535832856500898
 л,4.533046313145757,4.533046313145757
025 ,4.531426351426753,4.531426351426753
скам,4.5277656456893425,4.5277656456893425
мену,4.523349975996078,4.523349975996078
аем ,4.521612384763905,4.521612384763905
лич,4.516375469500465,4.516375469500465
 κ,4.5152033326374115,4.5152033326374115
ут ,-4.498396860075519,4.498396860075519
 био,4.498356683648256,4.498356683648256
"й,",-4.492437353871027,4.492437353871027
sdt ,4.490934769535028,4.490934769535028
рава,4.490066026240383,4.490066026240383
2,4.4889040898583,4.4889040898583
ft,-4.4879441930792465,4.4879441930792465
 дох,4.483413816963131,4.483413816963131
"ы,",-4.474384319070182,4.474384319070182
"й, ",-4.45921916779455,4.45921916779455
оди ,4.452097582574603,4.452097582574603
ев,-4.445996643909354,4.445996643909354
Кому,4.443605115538984,4.443605115538984
егал,4.425584363412993,4.425584363412993
sdt,4.414185117518282,4.414185117518282
 чай,-4.411240920270849,4.411240920270849
аб,4.406289967551672,4.406289967551672
1.,-4.397864289224896,4.397864289224896
лат ,4.393895393756197,4.393895393756197
tme,4.390001602749929,4.390001602749929
"ю,",-4.385235249310562,4.385235249310562
 000,4.384699160483566,4.384699160483566
тсо,4.383878351017281,4.383878351017281
